sample_id,task,mode,k,regime,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,output_text
fast_en_001,quick_en,baseline,0,deterministic,0.5559,263.02,26.63,12,21.59," Leaves are green because they contain chlorophyll, a pigment"
fast_en_002,quick_en,baseline,0,deterministic,0.2721,26.85,22.29,12,44.1, 1. Create a conducive study environment: Choose a quiet
fast_en_003,quick_en,baseline,0,deterministic,0.2729,26.78,22.38,12,43.97, Sure! Imagine you have a big box of Lego blocks.
fast_en_004,quick_en,baseline,0,deterministic,0.2745,27.1,22.49,12,43.72, Regular exercise offers numerous benefits to both physical and mental health.
fast_en_005,quick_en,baseline,0,deterministic,0.2702,26.63,22.14,12,44.42," An API, or Application Programming Interface, is a set of"
fast_en_006,quick_en,baseline,0,deterministic,0.2749,27.55,22.48,12,43.65," Supervised learning uses labeled data to predict outcomes, while uns"
fast_en_007,quick_en,baseline,0,deterministic,0.2734,26.39,22.46,12,43.89, Overfitting is a phenomenon in machine learning where a model
fast_en_008,quick_en,baseline,0,deterministic,0.286,26.6,23.58,12,41.96," Two ways to reduce energy consumption at home are:

1."
fast_en_009,quick_en,baseline,0,deterministic,0.27,26.7,22.12,12,44.44, Version control is a system that allows multiple people to work on
fast_en_010,quick_en,baseline,0,deterministic,0.2697,26.29,22.13,12,44.49, Use active voice and a positive tone. Use a single sentence
