sample_id,ar_total_s,method_total_s,ttft_s,tpot_s,accepted_block_mean,output_tokens,prediction,reference,seed,regime,rescue_alpha,window_size,cooling_tokens
s000,0.8047964597816663,0.39241736581322,0.04990349359435754,0.0031137624747169315,9.076923076923077,111,"Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s001,0.40029686660307073,0.2060409773444778,0.05076195542485356,0.003611140044642424,8.833333333333334,44,"Medical Trial update: officials reported a phased plan measurable milestones, trade-offs, and near-term token risks.","Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s002,0.5832607098169503,0.24960698588793734,0.046056031792582594,0.0029933963837552166,8.875,69,"Sports Finals token officials criticized a phased plan with measurable milestones, trade-offs, and token execution risks.","Sports Finals update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s003,0.8837834481172301,0.36624324619412263,0.04886750273116736,0.0029386642913236598,9.25,109,"Education token update: officials reported a phased plan with measurable milestones, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s004,0.3727434052012991,0.19173409127755994,0.04357238633326401,0.0030237082641693044,9.833333333333334,50,"Climate Policy update: officials announced token phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s005,0.7748981917535772,0.3378481729042228,0.050635673615128766,0.00302328946620099,9.454545454545455,96,"Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s006,0.7986596936350534,0.41281017752515103,0.055538901178496324,0.003760750277333208,7.538461538461538,96,"Supply Chain update: officials confirmed a phased plan token token trade-offs, token near-term execution risks.","Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s007,0.6145943621596119,0.28433228685428025,0.0483153820888337,0.0031894176319654938,9.333333333333334,75,"Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s008,0.26962529304443966,0.15360158591663395,0.0518434066642691,0.0037688214537912905,8.5,28,"City Planning update: officials rejected a phased plan with token milestones, token and near-term execution risks.","City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s009,0.4420494678762651,0.20762388062794535,0.05210443278581812,0.0036167313451657495,7.333333333333333,44,"Cybersecurity Incident update: officials token a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
