sample_id,task,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,16,deterministic,42,21.6838,443.32,83.3,256,11.81,831,204,53,0.2455,3.85,False,"  (C) $1500000000000 (C) $2500 (C) $250 (C) $25, (C) $25, (C) $25,000 (C) $25,000 (C) $25,000 (C) $25,000 (D) $300 (C) $25,000 (D) $300 (C) $25,000 (D) $3500 (C) $25,000 (D) $35, (C) $25,000 (D) $35,0000000 (C) $25,000 (D) $35, (C) $25,000 (D) $35,00000 (C) $25,000 (D) $35,00000 (C) $25,000 (D) $35, (C) $25,0",False,True,captured
gsm8k_11,gsm8k,0.6B,16,deterministic,42,44.1003,439.14,171.22,256,5.8,1700,144,112,0.0847,1.29,False," 

Final Answer: <number>
Okay, let's see. Toula bought different pastries she bought  cost of each itemized cost of each itemized cost of each type of each item's total cost of each type of each type of each type of each type of pastry costs of each type of each type of pastry costs of each type of pastry costs of each type of pastry and then add up

First, let's break it's total cost of each type of each itemized cost of each type of pastry costs of each type of pastry and then add them separately for each type of each type of pastries she bought  cost of each type of pastry costs of each type of pastry and then add them all the total cost of each type of pastry and then add them all together. 

Final Answer:  cost of each itemized cost of each type of pastry and then add them all together. 

Final Answer:  cost of each type of pastries she bought  cost of each type of pastry costs for each type of pastry and then sum of each itemized cost of each type of pastry and then sum of each type of pastries she bought and then add them all together. 

First, let's break-even though process step-by calculating the total cost of",False,True,captured
gsm8k_15,gsm8k,0.6B,16,deterministic,42,50.4534,443.39,196.12,256,5.07,1942,132,125,0.068,1.06,False," (Note: Profit is calculated as the difference between the selling price and the cost price).)

To be careful, not the merchant's cost price.))
Okay, so the profit = SP - CP).)

To be careful with the assumption is the merchant will be careful, not as per item.))
Okay, so the profit = SP - CP. The merchant's value.))
Okay, so the profit = SP - CP. The merchant's value.))
Okay, so the profit = SP - CP. The merchant will be the merchant's value.))
Okay, so the merchant's value.))
Answer: <number>)

To be clear.))
Okay, let's see the merchant's value.))
Okay, so the profit = SP - CP. The merchant's cost price).)

To be clear. So, profit = SP - CP. The merchant will be the merchant's cost price).)

To be clear. So, if the item.))
Answer: <number>.)

To be clear. So, if the item is the same as per item.))
Answer: <number>.)

Okay, let's see the merchant's cost price).)

To be clear. So, if the item is sold.))
Answer: The merchant's cost price",False,True,captured
gsm8k_21,gsm8k,0.6B,16,deterministic,42,34.2274,439.83,132.5,256,7.48,1321,173,84,0.131,2.06,False," Let's solve this problem step by step.
Step 1: Let's find out Let's solve this problem. Raymond's age. Raymond was born 6 years before Samantha. So, if Samantha's age of Raymond's age of Raymond's age. Raymond's age when Raymond's age of Raymond's age when Raymond had Raymond's age when Raymond had his age of Raymond's age when Raymond had his son's age. Raymond's age when Raymond had Raymond's age when he age of Raymond. Raymond's age when he age of Raymond. Since Raymond was Raymond's age when he age of Raymond. Since Raymond was born 6 years before Samantha, how old Raymond's age. Raymond was Raymond's age when he had Raymond's age when he had his son. Raymond was Raymond's age when he had his son. Raymond had Raymond's age when he had his son. Raymond had Raymond's age when he had his son. Raymond had his age of Raymond. Since Raymond was born 6 years before Samantha, Raymond's age when he age of Raymond. Since Raymond was born 6 years before Samantha, Raymond is Raymond's age when he had Raymond's son's age. Raymond was Raymond's age when he had his son. Raymond had his age of Raymond. Since",False,True,captured
gsm8k_22,gsm8k,0.6B,16,deterministic,42,51.1133,438.61,198.72,256,5.01,1975,129,127,0.0653,1.02,False," 

Okay, let's see. Billy sells DVDs on Tuesday. He has 8 customers on Tuesday.

Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let's see the number>
Okay, let me think>
Okay, let's see the number>
Okay, let's see the number of the number>
Okay, let's see the number of DVDs sold by the number>
Okay, let's see the problem. 

Okay, let me think>
Okay, let me think>
Okay, let's see the number>
Okay, let's see the problem. 

Okay, let's see the number>
Okay, let's see the problem again, let me think>
Okay, let's see the problem again. Let's

Okay, let's see the number>
Okay, let's see the problem again. Let's

Okay, let's see the problem again. Let me think>
Okay, let's see the problem again. Let me think. 

Okay, let's see the number>
Okay, let's see. 

Okay, let's see the number>
Okay, let's see. Billy sold on Tuesday.

Okay, let's see the",False,True,captured
gsm8k_32,gsm8k,0.6B,16,deterministic,42,30.7902,449.16,118.98,256,8.31,1188,182,75,0.1532,2.43,False," 

So, 10 dogs.  He has 10 dogs.  Each dog takes .5 hours per dog.  He has 10 dogs, so I think that.  He has 10 dogs, so I think that's dogs.  He has 10 dogs, and then multiply the dogs.  He has 10 dogs, and then multiply by 7 the dogs.  He has 10 dogs, and then multiply that.  He has 10 dogs, and each dog.  He has 10 dogs, and each dog takes .5 hours per dog.  The dogs.  He has 10 dogs, and each dog takes .5 hours a dog.  He has 10 dogs, and then multiply by 7 days.  He has 10 dogs, and each dog.  He has 10 dogs, and each dog.  He has 10 dogs, and each dog takes care of the dogs.  He has 10 dogs, and each dog takes .5 hours a day. So, 10 dogs times the dogs.  He has 10 dogs, and each dog.  He has 10 dogs, and",False,True,captured
gsm8k_34,gsm8k,0.6B,16,deterministic,42,24.0615,435.54,92.65,256,10.64,925,197,60,0.213,3.28,False," Let's solve this step by step.
First, let's find out how many jewels Aaron has. Since Aaron has 5 more jewels than half of Raymond's jewels, we need to be the number of jewels Aaron has. Since Raymond has 40 jewels Aaron has. Let's solve this step by step.
First, let's find out how many jewels Aaron has. Since Aaron has 5 more jewels than half of Raymond's jewels, Aaron has. Let's start by the number of jewels Aaron has. Since Aaron has. Let's start by finding out how many jewels Aaron has. Since Aaron has 5 more jewels than half of Raymond's jewels Aaron has. Since Raymond has 40 jewels, Aaron has. Let's start by finding how many jewels Aaron has. Since Aaron has 5 more jewels than half of Raymond's jewels Aaron has. Since Raymond has 40 jewels, Aaron has. Since Raymond has 40 jewels Aaron has. Since Raymond has. Let's start by finding how many jewels Aaron has. Since Aaron has 5 more jewels than half of Raymond's jewels are in total Aaron has. Since Raymond has 40 jewels, Aaron has. Since Raymond has 40 jewels, Aaron has  Aaron has. Since Raymond has",False,True,captured
gsm8k_35,gsm8k,0.6B,16,deterministic,42,57.2124,440.58,222.63,256,4.47,2210,116,141,0.0525,0.82,False," 

Okay, let's see. Mike played  Let's

Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let's see the total points>
Okay, let me think>
Okay, let me think>
Okay, let's see the total points scored in the second 20 minutes, let me think>
Okay, let me think>
Okay, let's see the total points he scored  Let's

Okay, let's see the total points scored in the second 20 minutes, let me think>
Okay, let me think about  Let's see the total points scored in the second 20 minutes is the total points scored in the second 20 minutes, let me think. 

Okay, let me think>
Okay, let's see the total points scored in the second 20 minutes, let me think. So, in the first 20 minutes, Mike plays ping pong for the total points>
Okay, let's

Okay, let's

Okay, let's

Okay, let's

Okay, let's see the total points he scored  Let's solve this is the total points scored in the second 20 minutes, let me think",False,True,captured
gsm8k_44,gsm8k,0.6B,16,deterministic,42,38.2653,438.24,148.34,256,6.69,1475,163,93,0.1105,1.75,False,"  (Note: 1 pound of beeswax is equal to 100 ounces.)

Wait, that is a.0 grams.)

Wait, that note: 10 grams.)

Wait, the number of ounces.)

Wait, the note: this is a typo?  Wait, that is, 10 grams.)

Okay, let's see. Charlie wants to sellable to  ounces.)

Wait, the note: 100 grams.)

Okay, let's say  ounces.)

Wait, the note says 1 pound of beeswax.0 grams.)

Wait, the note says 1 pound of beeswax.00 grams.)

Okay, let's say  ounces.)

Okay, let's say  ounces.)

Okay, let's say 10 grams.)

Okay, let's say 100 grams.)

Okay, let's say 100 grams.)

Okay, let's say 100 ounces.)

Okay, let's see the number of ounces.)

Wait, the note says 1 pound of beeswax.00 grams.)

Okay, let's say 100 ounces.)

Okay, let's say 100 ounces.0 grams.)

Okay, let's say 100 ounces.",False,True,captured
gsm8k_48,gsm8k,0.6B,16,deterministic,42,41.304,436.27,160.27,256,6.2,1598,155,102,0.097,1.52,False," 

Final Answer: <number>
Okay, let's see. Tracy has to the total length of the wire from feet to inches. Since the wire is 4 feet long and then divide the total length of wire length of wire length of wire length of wire into the total length of the total length of the wire from feet to inches. Since the total length of wire length of wire into inches and then divide the total length of wire into the total length of the wire from feet to inches. Since the total length of the total length of the wire from feet to inches. 

Final Answer: 4 feet into inches and then divide the total length of the total length of the wire from feet to inches. Since the wire length of wire length of the total length of the wire from feet to inches because the length of the wire from feet to inches. 

Final Answer: 8
Okay, let's length of wire length of wire into the total length of the wire from feet to inches because the length of the wire from feet to inches. Since the wire length of the total length of the wire from feet to inches because the length of the wire is 4 feet into inches and then divide the total length by dividing the total length of the wire by dividing the total length",False,True,captured
