sample_id,task,draft,draft_config_label,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,0.5B,4,stochastic,42,12.2195,169.23,47.26,256,20.95,535,123,134,0.2299,0.92,False," 

Okay, let's see.>

Okay, let's see. 

Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see the value of house value of the house's profit > 

Okay, let's think>
Okay, let's think>
Okay, let's try to calculate the value >
Okay, let's think>
Okay, let's think>
Okay, let's try to find the profit>

Okay, let's think>
Okay, let's see the number > 

Okay, let's think through the steps.

Let me think>
Okay, let's think>
Okay, let's try to calculate the profit. 

Okay, let's think through the steps >. 

To determine the profit made 4500>
Okay, let's think through the value of house value >
Okay, let's think > 

Okay, let's think through the process >
Okay, let's think through the process here > 

Let me try to find the profit. 

Okay, let's think through the process > 

Okay, let's think through the steps >

Okay, let's see the profit >

Okay, let's see the problem again",False,True,captured
gsm8k_11,gsm8k,0.6B,0.5B,4,stochastic,42,11.3133,109.16,43.94,256,22.63,497,131,125,0.2636,1.05,False," 

Okay, let's see.>

To calculate the total cost step-by>

To calculate the total cost step-by>
Okay, let's see the total cost in numbers >
To calculate the total cost of the total cost of the total cost of the total cost in numbers >
To calculate the total cost of the total cost in the total cost in the total cost is the total cost in numbers only the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost of the total cost is the total cost of the total cost is the total cost of the total cost.>

To calculate the total cost of the total cost is the total cost.>

To find the total cost by step-by>

To find the total cost, let's calculate the total cost in the total cost in the box >
To find the total cost by step>
Okay, let's see the total cost in numbers only the total cost is $68*>
Okay, let's compute the total cost in the box >
To find the total cost, let's calculate the total cost of don'the total cost in numbers >

To calculate the total cost of the",False,True,captured
gsm8k_15,gsm8k,0.6B,0.5B,4,stochastic,42,10.5935,109.34,41.11,256,24.17,465,140,117,0.3011,1.2,False," Assume that the price of is the item is the items is the same as a jewelry is $5,000 is the same as the item is the item is $5,000 and the value is the same as per item is the same as the item is not purchasing the goods is not purchasing the jewelry is the items is $5,000 is $5,000 is the same as the purchase is the same as the price of the goods is the same as the items is not buying the items is the items is fixed assets is the same as the initial purchase is the same as the original is the same as the price of the item is the same as the items is the item is the same as the jewelry is $5,0 is the same as the price of the item is the same for the item is the same as the item is the same as the item is the same as the jewelry is $5, the item is the jewelry is $5,0 is the same as the price of the items is not buying the jewelry is $5,000 is the same as the purchase is the same as the items is the same as the items is the same as the item is the same as the item is the",False,True,captured
gsm8k_21,gsm8k,0.6B,0.5B,4,stochastic,42,9.7929,108.94,37.98,256,26.14,429,149,108,0.3473,1.38,False," Let's solve this problem step by step, step by step, step by step, step by step, using the information given. 

First, we need to find out how many steps:

Okay, let's try to find the same as a step by step, step by step, step by step, and see if Samantha is  step by step, step by step, step by step, and see if we have to find the problem step by step, step by step, using the information given. 

First, we need to find out how old step by step, and see step by step, step by step, step by step, step by step, step by step, using the information given. First, we need to find the same as the user step by step, breaking it step by step, step by step, using the information given. First, we need to find the same way. First, we need to find out how old step by step, and make sure to be breaking it step by step, and see step by step, and find the current age of Raymond and see step by step. 

First, we need to find out how many years ago. Raymond was born 6 years before we have to be breaking it step by step, step",False,True,captured
gsm8k_22,gsm8k,0.6B,0.5B,4,stochastic,42,12.2448,109.61,47.59,256,20.91,539,121,136,0.2245,0.89,False," 

Let me think>
Okay, let's see. 

Let me think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see the number >
To determine the number >
Okay, let's think>
Okay, let's think>
Okay, let's see the number of DVDs sold > 
Okay, let's see solution > 

Okay, let's think>
Okay, let's think step-by-step-replace answer here put your answer here >
Okay, let's see the number of DVDs sold by the number >
To determine the total number of DVDs sold >
To determine the total number of DVDs sold > 

Okay, let's 22>
Okay, let's see the number >
To determine the total number of DVDs sold>

To determine the total number of DVDs sold > 

Okay, let's>
Okay, let's see below




Final Answer: <number>
Okay, let's see the number >
To determine the total number of DVDs sold > 

Let me think through the number >
Okay, let's think>
Okay, let's think step by step-by>
Okay, let's think step by step-by>
Okay, let's see the number",False,True,captured
gsm8k_32,gsm8k,0.6B,0.5B,4,stochastic,42,10.4963,108.71,40.74,256,24.39,462,139,117,0.3009,1.19,False," 

Okay, let's see.5>
Okay, let's calculate the number >
Okay, let's see, let's>

Okay, let's calculate the total hours per week >
Okay, let's see the answer here put your answer here put your answer here > 

Okay, let's see the answer here put your answer here > 

Okay, let's see the answer here >
Okay, let's see the number >
Okay, let's see the number of hours per week >

Okay, let's see the answer here >
Okay, let's see below > 

Okay, let's the problem solution > 

Okay, let's see the answer here > 

Okay, let's see. 

Okay, let's

Okay, let's see the answer here >
Okay, let's see the answer here >
Okay, let's see the answer here >.
Okay, let's see the total hours per week >
Okay, let's see below >
Okay, let's see the number >
Okay, let's see the answer here >
Okay, let's final answer here >
Okay, let's see below > 

Okay, let's see.5>
Okay, let's see below >
Okay, let's see the number >
Okay, let's see the number >
",False,True,captured
gsm8k_34,gsm8k,0.6B,0.5B,4,stochastic,42,11.5619,111.17,44.9,256,22.14,509,129,128,0.2534,1.01,False," 

Okay, let's see the number > 

Okay, let's think>
Okay, let's think>
Okay, let's see the number >
Okay, let's think>
Okay, let's try to answer >

Okay, let's see solution here >

Okay, let's see the number >
Okay, let's try to solve this is 26550>
Okay, let's try to find the number >
Okay, let's try to solve this is a number >
Okay, let's try to solve this is a math >
Okay, let's try to find the answer here >

Okay, let's see, let's

Let's number > 

Okay, let's see the number >
Okay, let's try to solve this is a number >

To solve this problem, we need to find out how many jewels does not yet determined by

Okay, let's see the number > 

Okay, let's answer >

To solve this is 2 less than 4650>

Okay, let's try to find the answer here >

To solve step-by-step-replace answer >
Okay, let's try to find the answer here >

To solve this is 465>
Okay, let's try to find the answer here >

Okay,",False,True,captured
gsm8k_35,gsm8k,0.6B,0.5B,4,stochastic,42,12.8777,109.41,50.07,256,19.88,569,113,143,0.1986,0.79,False," 

Okay, let's see.>

Okay, let's see, 5>
Okay, let's see below >
To determine the total points scored 6>
Okay, let's see the total points >
To determine the total points by the total points>
Okay, let's see the total points >
To determine the total points Mike plays ping pong for 4>
Okay, let's see the total points >
To determine the total points Mike scored 56>
Okay, let'score>
Okay, let's see the total points >
To determine the total number >
To determine the total number >
To determine the total number >
To determine the total number of the problem solution > 

Okay, let's see below > 

Let me think>
Okay, let's see the total points > 

To determine the total points Mike's>
Okay, let's see below >
To determine the total number >
To determine the total number >
To solve this step-by- 5
Okay, let's see the total points >
To determine the total number >
To solve this step by the total points > 

To determine the total number >
To solve this problem solution here put your answer here >
To determine the total number >
To solve this problem, let's solve the total points >",False,True,captured
gsm8k_44,gsm8k,0.6B,0.5B,4,stochastic,42,12.3279,114.31,47.9,256,20.77,543,120,137,0.221,0.88,False," 

Okay, let's see.>

Okay, let's think>
Okay, let's think>
Okay, let's see the number >
Okay, let's think>
Okay, let's see the answer here >
Okay, let's think>
Okay, let's think>
Okay, let's see below

Let's profit >

Okay, let's think>
Okay, let's think>
Okay, let's see the number > 

Okay, let's profit calculation >
Okay, let's see below > 

Okay, let's think through the answer > 

Okay, let's see the number >
Okay, let's see the answer here >
Okay, let's see the number >
Okay, let's see the answer here >
Okay, let's see below >
Okay, let's see below > 

Okay, let's see the number >
Okay, let's see the number > 
Okay, let's see below>
Okay, let's see below>
Okay, let's profit>
Okay, let's see the number >
Okay, let's see the number >
Okay, let's profit>
Okay, let's see the number >
Okay, let's see below

To determine the number >
Okay, let's see the answer here >
Okay, let's see the number",False,True,captured
gsm8k_48,gsm8k,0.6B,0.5B,4,stochastic,42,11.0297,109.32,42.82,256,23.21,486,134,122,0.2757,1.1,False," What is the length of the wire in feet of each piece of each piece of each piece of each piece in feet of each piece of wire left overhang?

Wait, the question is the wire that each piece of wire in feet of each piece in feet of each piece?

Wait, the question seems to the wire in feet of each piece? (the question is not used wire that each piece?

Wait, the wire left over wire used wire used wire left over wire that piece of wire left over wire that piece of wire after the wire that piece of wire left over wire? (this wire in feet of each piece?

Wait, the question seems to the nearest inch of each piece of wire?

Wait, the question seems to the nearest inch of the wire not used wire used wire?

Wait, the wire left over wire?

Wait, the question is cut?

Wait, the question seems to the nearest inch of the wire that piece of wire after the wire not used?

Wait, the question seems to the nearest inch?

Wait, the wire left over?

Wait, the question seems to the nearest inch?

Wait, the question is not used wire?

Wait, the question seems to the nearest inch?

Wait, the question seems to the nearest tenth piece of wire left over wire",False,True,captured
