sample_id,task,mode,draft,k,regime,target_device,draft_device,adaptive_k,profile,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,k_max,k_final,alpha,B_eff,stopped_eos,output_text,draft_elapsed_s,verify_elapsed_s
fast_en_001,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,0.9231,204.4,65.34,12,13.0,13,8,4,4,4,0.6154,2.0,False," Leaves are green because they contain chlorophyll, a pigment",0.193499,0.717999
fast_en_002,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,1.1621,188.81,88.48,12,10.33,18,8,5,4,4,0.4444,1.6,False, 1. Create a conducive study environment: It is important,0.266128,0.884507
fast_en_003,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,1.1564,191.2,87.75,12,10.38,18,7,5,4,4,0.3889,1.4,False, Cloud computing is like renting a big library of books and movies,0.265898,0.876884
fast_en_004,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,1.1531,195.49,87.06,12,10.41,17,7,5,4,4,0.4118,1.4,False, Regular exercise offers numerous benefits to both physical and mental health.,0.251983,0.88982
fast_en_005,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,0.9423,191.26,68.28,12,12.73,15,9,4,4,4,0.6,2.25,False," An API, or Application Programming Interface, is a set of",0.222169,0.708622
fast_en_006,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,0.9447,191.37,68.48,12,12.7,15,9,4,4,4,0.6,2.25,False," Supervised learning uses labeled data to train models, while uns",0.22096,0.714527
fast_en_007,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,0.9223,187.91,66.76,12,13.01,15,9,4,4,4,0.6,2.25,False, Overfitting in machine learning is a situation where a model,0.222623,0.690718
fast_en_008,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,1.333,178.62,104.94,12,9.0,21,7,6,4,4,0.3333,1.17,False, Reducing energy consumption at home can help save money and reduce,0.307168,1.012547
fast_en_009,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,0.9196,184.78,66.8,12,13.05,15,9,4,4,4,0.6,2.25,False, Version control is a system that allows multiple people to work on,0.219349,0.69028
fast_en_010,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_fp16_draft,1.3639,182.06,107.44,12,8.8,23,7,6,4,4,0.3043,1.17,False," Use the abbreviation ""TL;DR"" for ""Too Long",0.332505,1.017889
