sample_id,task,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,4,stochastic,999,14.1619,154.72,54.93,256,18.08,497,132,125,0.2656,1.06,False,"  (Assume that he uses the original cost of the original price of the house for the house value of the original cost of the house and sells the original price plus the value of the house after-tax and sells the entire value of the house and sells the house for the original price of the house to sell the original cost basis of the original cost of the house and sells the house value of the house after-tax money from the original price from the proceeds from the original cost of the house and repairs as much of the house value of the value of the house after repairs as much of the money from the original purchase price plus 10% of the total cost of the house and repairs as much of the profit as much as much as much as much as much as possible depreciation to sell the house for the same amount of money from the original purchase to sell the house for the entire proceeds from the sale price of the house, including the money from the sale price of the house is the same value of the house after-tax profit = the original price of the house as much as possible tax-free to sell the house for the same amount of money to sell the house for the same amount of money he sells the house for the same amount of money he sells the house for the original",False,True,captured
gsm8k_11,gsm8k,0.6B,4,stochastic,999,14.5801,140.22,56.63,256,17.56,518,127,130,0.2452,0.98,False," 

Okay, let's see.>

To find the total cost, the total cost in the total cost of don'the total cost in numbers >

To calculate the total cost of the total cost in numbers >
To calculate the total cost of the total cost is the total cost in numbers only the total cost in numbers only the number >

To calculate the total cost of don'to>

To find the total cost by the total cost in the total cost in the total cost is the total cost.

Let me solve the total cost in the total cost is the total cost of the total cost in the box >
To calculate the total cost of the total cost is the total cost of the total cost is the total cost.

Let me calculate the total cost is the total cost is the total cost of the total cost is the total cost. 

Let me solve step by step >

To find the total cost by 30>
Okay, let's calculate the total cost in the box >

To calculate the total cost of the total cost is $521234762397439>
Okay, let's>
Okay, let's see the total cost in the box.

Okay, let's see the total cost in the box > 

Okay, let",False,True,captured
gsm8k_15,gsm8k,0.6B,4,stochastic,999,13.5629,139.34,52.64,256,18.88,479,136,121,0.2839,1.12,False," Assume that the discount rate is  is  is 5% is  is 6% per month is 5% per month is 6% per year is 1 is 8% and the merchant is  is 6% per year is 5% per month is 0.05.

Wait, the question is missing in the market is  is 1 is 6% per year.

Wait, the merchant is willing to pay is 10% and the interest is 1 is 5% and the risk-free and the market is 5% per year, r is 1 is 5% and the interest is 6%.
Wait, the question is a is  is 5%.
Wait, the question is not to be  is 5% per year is 1 is 5% and the rate is 1 is 1 is 5% per year is 10. is 1 is 1 is 10% per month is 1 is 5% and the interest is 3% per month is 10. is 10. is 10% is 10. is 10.0. is 10% is ",False,True,captured
gsm8k_21,gsm8k,0.6B,4,stochastic,999,11.1476,140.97,43.16,256,22.96,395,158,99,0.4,1.6,False," Let's solve this problem. 

First, we need to find the current age step by step, step by step, step by step, step by step, using the information given. First, we need to find the current age step by step. 

First, we need to find the current age of how old-style.

First, we need to find the current age of Raymond and think step by step, step by step, step by step, using the information given. First, we need to find out step by step, step by step, using the information given. First, we need to find the current age of Raymond and then step by step, step by step, using the information given. 

First, we need to find the current age of Raymond and see step by step. 

First, we need to find out step by step, and then check for the problem step by step, step by step, using the information given. First, we need to find the current age of Raymond and Samantha is a step by breaking it step by step, and see step by step. 

First, we need to find the current age of Raymond and Samantha is a two ways. First, we need to find the current age of Raymond and Samantha is step by step,",False,True,captured
gsm8k_22,gsm8k,0.6B,4,stochastic,999,12.6261,139.55,48.97,256,20.28,449,144,113,0.3207,1.27,False," Let's solve this problem. 

Step 1: Determine the problem step by step. First, let's break it step by step. First, let's break it step by step. First, let's see if we think step by step. First, step by step. First, we need to calculate the first. 

Step 1: Determine the first. 

Step 1: Determine the first 3 customers bought by breaking it down step by step. First, we need to find the step by step. 

Step 1: Determine the first step by breaking it down step by step. First, let's find the first. 

First, let's see how many DVDs did he has  step by step. First, we have to find out how many DVDs sold by breaking it down step by step. First, we need to find the first step is a step by step. First, let's find out step by step. First, let's find out step by step. First, we need to find the first. 

First, let's calculate the total number of DVDs sold is step by step. First, we have a step by step. First, step by step. First, let's find the total number by breaking it down into steps",False,True,captured
gsm8k_32,gsm8k,0.6B,4,stochastic,999,11.2246,139.46,43.47,256,22.81,399,157,100,0.3935,1.57,False," Let's solve this problem. 

First, we need to find out how many hours a day does step by step. 

First, we need to find the problem step by step:

First, we need to find the problem step by step. 

First, we need to find the total hours per step by first. We need to find out step by step:

First, we need to find the problem step by step. 

First, we need to find out step by step. First, we need to find the problem step by step.

First, we need to find the problem step by step.  step by step:

First, we need to find the problem step by step. 

First, we need to find out step by step. 

First, we need to find out step by step. 

First, we need to find the problem step by step. 

First, we need to be breaking it down step by step:

First, we need to find the problem step by step. 

First, we need to be breaking it into steps. 

First, we need to find the problem step by step by first. 

First, we need to find out how many hours a day does it's steps:

First, we need to find the problem step by",False,True,captured
gsm8k_34,gsm8k,0.6B,4,stochastic,999,12.8201,140.87,49.72,256,19.97,457,141,115,0.3085,1.23,False," Let's solve this step by step.

Step 1: Find the problem together.

Step 1 by step.

Step 1: Find the problem together.

Okay, let's see. First, find the problem together.

First, find step.

Step 1: Find the problem step.

First, find out how?

Okay, let's see step.

Step 1: Find the problem step by step.

First, find the problem.

First, find out how many step.

Step 1: Find the problem together.

Okay, let's solve this step by step.

Okay, let's see step.

First, we go step by step. First, we need to find the problem step.

Step 1: Find out.

First, we go step by step.

Okay, let's see step.

First, find out how?

Okay, let's see step.

First, we go step by step. First, find out how many step.

First, we go step by step.

Step 1: Find out.

Step 1: Find the problem step by step.

Step 1: Find out.

Step 1: Find out.

Step 1: Find out.

Step 1: Find the number by step.

First, find out how many step",False,True,captured
gsm8k_35,gsm8k,0.6B,4,stochastic,999,11.4241,140.35,44.25,256,22.41,404,156,101,0.3861,1.54,False," Let's solve this problem.  step by breaking it down step by step. 

Okay, let's see. 

Okay, let's break it step by step. 

First, we need to find the same as a step by step. 

Okay, let's break it down step by step. 

First, we need to find the total points =  step by step.  step by step. 

First, we need to find the same as the problem step by step.  step by step.  step by step.  step by step. 

First, we need to find the total points is the problem step by step.  First, we need to find the total points = step by step. 

First, we need to find the problem step by step.  step by step.  step by step.  First, we need to find the problem step by step.  step by step.  step by step.  First, we have a step by step.  First, we have to find the total points = step by step.  step by step.  step by step.  step by step.  step by step.  First, we have a step by step.  step by step.  step by step.",False,True,captured
gsm8k_44,gsm8k,0.6B,4,stochastic,999,14.1155,141.54,54.8,256,18.14,499,131,126,0.2625,1.04,False,"  Also, he has a 10. 10. 20% of the total of $100. 20% tax rate of $20.30% of $100.0.30% tax rate on-handmade a fixed cost of $10.20.  20% of $100.20% of the cost of $20% of the profit margin of $10.20% of the total profit margin of $50% of the revenue of $20% of the selling cost of $200. 20% tax rate of 10% discount of $200% of the cost of $50% of the profit that costs of $50% discount of 20% discount of 10% discount on-handmade label that costs $20. 20% tax rate on-handicraft, $100.30% tax rate of 10% discount on-time cost of $10% of $200.0.20% tax rate onetime of $100.20% tax rate of 10. ",False,True,captured
gsm8k_48,gsm8k,0.6B,4,stochastic,999,11.8757,138.14,46.03,256,21.56,422,151,106,0.3578,1.42,False," What is the total length of all the pieces?

Wait, the pieces? of all the pieces?

Wait, the question? of all the pieces?

Wait, the question is the pieces?

Wait, the question is asking for all of all the pieces? What is the total length of all the pieces?

Wait, the question is the wire used for all of all the pieces?

Okay, in feet of all the pieces combined?

Okay, let's length of all of all the pieces?

Wait, the question is asking for? of all the pieces combined of all the pieces?

Okay, let mea of all the pieces combined of all the pieces combined of all the pieces?

Wait, the question is asking for? of all the pieces combined?

Wait, the question is asking for? of all the pieces?

Wait, the question is the pieces?

Wait, the question seems to be a mistake in the question? of all the pieces put into which is  of all the pieces?

Answer: <number> of all the pieces?

Wait, the question is asking for? of all the pieces combined of all the pieces combined of all the pieces?

Wait, the question is asking for?

Wait, the question seems to be a typo? of all the pieces?

Wait,",False,True,captured
