sample_id,task,mode,k,regime,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,output_text
fast_en_001,quick_en,baseline,0,deterministic,0.6602,140.01,34.68,16,24.24," Leaves are green because they contain chlorophyll, a pigment essential for photosynthesis"
fast_en_002,quick_en,baseline,0,deterministic,0.3643,27.12,22.48,16,43.91, 1. Create a conducive study environment: Choose a quiet and comfortable place to
fast_en_003,quick_en,baseline,0,deterministic,0.3651,27.14,22.53,16,43.83, Sure! Imagine you have a big box of Lego blocks. These blocks are like
fast_en_004,quick_en,baseline,0,deterministic,0.3648,26.96,22.52,16,43.86, Regular exercise offers numerous benefits to both physical and mental health. Here are three key
fast_en_005,quick_en,baseline,0,deterministic,0.3646,26.13,22.57,16,43.88," An API, or Application Programming Interface, is a set of rules and protocols for"
fast_en_006,quick_en,baseline,0,deterministic,0.3658,28.61,22.48,16,43.74," Supervised learning uses labeled data to predict outcomes, while unsupervised learning finds"
fast_en_007,quick_en,baseline,0,deterministic,0.362,29.1,22.2,16,44.19, Overfitting is a phenomenon in machine learning where a model learns the training data
fast_en_008,quick_en,baseline,0,deterministic,0.3624,26.43,22.4,16,44.15," Two ways to reduce energy consumption at home are:

1. Use energy-efficient appliances"
fast_en_009,quick_en,baseline,0,deterministic,0.3602,27.17,22.2,16,44.42, Version control is a system that allows multiple people to work on the same project or
fast_en_010,quick_en,baseline,0,deterministic,0.3585,25.99,22.17,16,44.63, Use active voice and a positive tone. Use a single sentence. Make your tip
