sample_id,task,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,8,deterministic,42,12.6571,247.16,48.67,256,20.23,464,198,58,0.4267,3.41,False,"  (B) $10,000 (B) $2 (B) $2 (B) $2 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000 (B) $20,000",False,True,captured
gsm8k_11,gsm8k,0.6B,8,deterministic,42,16.5045,244.66,63.76,256,15.51,610,179,77,0.2934,2.32,False," 

First, let's calculate the cost of each part of the problem, we need to calculate the cost of each part of the total cost, we need to calculate the cost of each part of the problem, we need to calculate the cost of each type the problem, we need to calculate the cost of each type of the total cost of the total cost, we need to calculate the cost of each type of the total cost, we need to calculate the cost of each type the problem, we need to calculate the cost of each type the problem, we need to calculate the total cost, we need to calculate the cost of donut the problem, we need to calculate the total cost, we need to calculate the cost of each part of the problem, we need to calculate the problem, we need to calculate the total cost, we need to calculate the cost of each type the problem, we need to calculate the total cost, we need to calculate the cost of the total cost, we need to calculate the cost of the total cost, we need to calculate the cost of donut the total cost, we need to calculate the cost of donut cost of the total cost, we need to calculate the cost of the total cost, we need to calculate the cost of the total",False,True,captured
gsm8k_15,gsm8k,0.6B,8,deterministic,42,20.6393,240.62,79.99,256,12.4,765,158,98,0.2065,1.61,False," (Note: Profit is calculated as the difference (Note: Profit is calculated as the difference between the selling price minus the cost of the final value of the item at the end of the month between the selling price minus the cost of the purchase price after the market value at the end of the month between the selling price and the merchant's selling price minus the cost of the purchase.)

Okay, let me between the selling price minus the cost of the purchase price and the merchant's selling price minus his selling price minus cost price after the market change in value, not as the selling price minus cost price after the market change in value, not as a) between the selling price and the purchase price and the selling price minus cost price and the merchant's selling price minus his selling price minus cost price. (Note: Profit is calculated as the difference between the selling price minus the cost price after the increase in value of the final value of the item at the end of the month after the market value at the end of the month minus the cost of the purchase.)

Okay, let's value of the final value of the item at the end of the month after the market change in value of the final value minus the cost of the purchase.)

Okay, let's say, not as the final",False,True,captured
gsm8k_21,gsm8k,0.6B,8,deterministic,42,16.3676,238.42,63.25,256,15.64,603,180,77,0.2985,2.34,False," Let's start by finding the current age of Raymond and Samantha are cousins. Raymond was born 6 years before Samantha is 1. First, we need to find out of the problem:

First, we need to find out of the problem. First, we need to find out how old was born 1. First, we need to find out how old Raymond was born 1. First, we need to find out how old Raymond was born 6 years before Samantha is 2. First, we need to find out how old Raymond was born 6 years before Samantha. First, we need to find out how old Raymond was born 6 years before Samantha. So, Raymond was born 6 years before Samantha. So, we know that Raymond was born 6 years before Samantha. So, we know that Raymond was born 6 years before Samantha. So, we know that Raymond was born 6 years before Samantha. Raymond was born 6 years before Samantha. So, we know that Raymond was born 6 years before Samantha. Raymond was born 6 years before Samantha. So, we know that Raymond was born 6 years before Samantha. Raymond was born 6 years before Samantha. So, Raymond was born 6 years before Samantha. First,",False,True,captured
gsm8k_22,gsm8k,0.6B,8,deterministic,42,20.2361,240.78,78.41,256,12.65,751,163,94,0.217,1.73,False," 

Final Answer: <number>
Final Answer 

Final Answer: 3

Final Answer: 3 + 3

Final Answer: 3

Final Answer: 3 + 4

Final Answer: 3* 1
Okay, let's see. So, let me think carefully: 1
Okay, let me

Final Answer: 3 + 3

Final Answer: 3 + 3

Final Answer: 3 + 3* 1
Okay, let me

Final Answer: 3 + 4

Final Answer: 3* 3

Final Answer: 3

Final Answer: 3 + 3

Final Answer: 3 + 3* 3

Final Answer: 3

Final Answer: 3 + 4

Final Answer: 3* 3* 3

Final Answer: 3

Final Answer: 3 + 4 = 3* 1
Okay, let's number is 3 + 3* 1. First, let me think carefully: 1
Okay, let's see the number is 3 + 4

Final Answer: 3 + 4 = 3

Final Answer: 3 + ",False,True,captured
gsm8k_32,gsm8k,0.6B,8,deterministic,42,24.3096,243.47,94.38,256,10.53,900,143,114,0.1589,1.25,False," 

Okay, let's see. John has 10 dogs take care of each day. Let me think. So, let's see how many hours a day John spends his time is the total hours per day John spends on the total hours per day John spends on each day. 10 dogs take care of each day John spends on the total hours per day John spends his time is the total time it takes to calculate the total time it takes to calculate the total time spent on walking one day. 10 dogs take 10 many hours a day is the total time per day John spends his time is the total time per day for each dog per day John spends his time is the total time per day for each dog per day.  Each dog takes 0.5 hours a day. 10 dogs take care of the total hours per day John spends his time on the total time it takes to walk each dog per day John spends his time on the daily hours per day John spends his time on the daily hours spent on walking one day's many hours a day is the total time per day for each dog per day.  Each dog takes 0.5 hours a day. 10 dogs take 0 many hours a day John spends",False,True,captured
gsm8k_34,gsm8k,0.6B,8,deterministic,42,18.677,238.0,72.31,256,13.71,691,170,87,0.246,1.95,False," Let's find how many jewels does the problem: Find how many jewels does Aaron's step: Find how many jewels Aaron's step: Find how many jewels Aaron's step: Find out of all the information: Find how many jewels does the problem says that we need to find out of all, we need to find out how many jewels Aaron's step: Find out of all, we need to find out how many jewels Aaron's jewels that we need to find out how many jewels Aaron has to find out how many jewels Aaron's step: Find out how many jewels Aaron's step: Find out how many jewels Aaron has to find out how many jewels Aaron's jewels that we know how many jewels does the problem says Raymond has 40 jewels that we know how many jewels Aaron's step: Find out how many jewels Aaron has to find out how many jewels Aaron has to find out how many jewels Aaron has to find out how many jewels Aaron has. Let's find out how many jewels Aaron has. Let's find out how many jewels Aaron has. Let's find out how many jewels Aaron has to find out how many jewels Aaron has, we need to find out how many jewels Aaron has. Let's find out how many jewels Aaron has. Let's find out how many",False,True,captured
gsm8k_35,gsm8k,0.6B,8,deterministic,42,22.8693,241.88,88.74,256,11.19,849,149,107,0.1755,1.39,False," 

Final Answer: <number>
Final Answer 

Final Answer: 1

Final Answer: 4
Okay, let's see. Mike plays ping pong for 40 minutes. In the first 20 minutes: 4 + 4 + 4 + 4 + 4 + 4 + 4 + 20

Final Answer: 4 + 4 + 20 minutes, let's number is 4 + 4 + 4
Okay, let's number is 4 + 20 minutes, let's see the total points is 4 + 25
Okay, let's number is 4 + (Step 1

Final Answer: 4 + (Step 1: 4 + 4
Okay, let's see the total points is 4 + 25% of the total points is 4
Okay, let's see the total points is 4 + (Step 1: Calculate the total points is 4 + 25% of 1

Final Answer: 4 + (Step 1: Calculate the total points Mike scored 1

Final Answer: 4
Okay, let's number is 4 + 25% of 1",False,True,captured
gsm8k_44,gsm8k,0.6B,8,deterministic,42,8.712,240.98,33.22,256,29.38,318,217,40,0.6824,5.42,False,"  (Note: 1 pound of beesw

Okay, let's see. Charlie is  (Note: 1 pound of beeswax is 16.  (Note: 1 pound of beeswax is 16.  (Note: 1 pound of beeswax is 4.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",False,True,captured
gsm8k_48,gsm8k,0.6B,8,deterministic,42,17.5954,239.32,68.06,256,14.55,651,173,83,0.2657,2.08,False," 

First, we need to determine how many pieces of wire, we need to convert the total length of wire length problems involving units, we need to determine how many pieces of wire, we need to determine how many  this problem, we need to determine how many  this problem, we need to determine how many 6 inches is  this problem, we need to determine how many 6 inches is 0

First, we need to convert the total length of the problem, we need to determine how many  this problem, we need to determine how many  this problem, we need to determine how many  this problem, we need to determine how many pieces of wire, we need to convert the problem, we need to determine how many 6-inch. 

First, we need to convert the total length of the problem, we need to determine how many 6 inches is 0.56 inches is 0.56
First, we need to convert the total length problems involving measurements, we need to convert the total length of the problem, we need to determine how many 6-inch. 

First, we need to convert the total length of the problem, we need to determine how many 6 inches is 0.5 feet to find",False,True,captured
