sample_id,task,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B_gridB,4,stochastic,42,15.6442,160.11,60.72,256,16.36,530,123,134,0.2321,0.92,False," 

Okay, let's see.>

Okay, let's see. 

Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see the value of house value of the house's profit > 

Okay, let's think>
Okay, let's think>
Okay, let's try to calculate the value >
Okay, let's think>
Okay, let's think>
Okay, let's try to find the profit>

Okay, let's think>
Okay, let's see the number > 

Okay, let's think through the steps.

Let me think>
Okay, let's think>
Okay, let's try to calculate the profit. 

Okay, let's think through the steps >. 

To determine the profit made 4500>
Okay, let's think through the value of house value >
Okay, let's think > 

Okay, let's think through the process >
Okay, let's think through the process here > 

Let me try to find the profit. 

Okay, let's think through the process > 

Okay, let's think > 

Okay, let's profit >
Okay, let's try to solve the value >

Okay,",False,True,captured
gsm8k_11,gsm8k,0.6B_gridB,4,stochastic,42,14.6809,146.41,57.0,256,17.44,497,131,125,0.2636,1.05,False," 

Okay, let's see.>

To calculate the total cost step-by>

To calculate the total cost step-by>
Okay, let's see the total cost in numbers >
To calculate the total cost of the total cost of the total cost of the total cost in numbers >
To calculate the total cost of the total cost in the total cost in the total cost is the total cost in numbers only the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost of the total cost is the total cost of the total cost is the total cost of the total cost.>

To calculate the total cost of the total cost is the total cost.>

To find the total cost by step-by>

To find the total cost, let's calculate the total cost in the total cost in the box >
To find the total cost by step>
Okay, let's see the total cost in numbers only the total cost is $68*>
Okay, let's compute the total cost in the box >
To find the total cost, let's calculate the total cost of don'the total cost in numbers >

To calculate the total cost of the",False,True,captured
gsm8k_15,gsm8k,0.6B_gridB,4,stochastic,42,13.7938,146.74,53.52,256,18.56,465,140,117,0.3011,1.2,False," Assume that the price of is the item is the items is the same as a jewelry is $5,000 is the same as the item is the item is $5,000 and the value is the same as per item is the same as the item is not purchasing the goods is not purchasing the jewelry is the items is $5,000 is $5,000 is the same as the purchase is the same as the price of the goods is the same as the items is not buying the items is the items is fixed assets is the same as the initial purchase is the same as the original is the same as the price of the item is the same as the items is the item is the same as the jewelry is $5,0 is the same as the price of the item is the same for the item is the same as the item is the same as the item is the same as the jewelry is $5, the item is the jewelry is $5,0 is the same as the price of the items is not buying the jewelry is $5,000 is the same as the purchase is the same as the items is the same as the items is the same as the item is the same as the item is the",False,True,captured
gsm8k_21,gsm8k,0.6B_gridB,4,stochastic,42,12.7501,147.22,49.42,256,20.08,432,148,108,0.3426,1.37,False," Let's solve this problem step by step, step by step, step by step, step by step, using the information given. 

First, we need to find out how many steps:

Okay, let's try to find the same as a step by step, step by step, step by step, and see if Samantha is  step by step, step by step, step by step, and see if we have to find the problem step by step, step by step, using the information given. 

First, we need to find out how old step by step, and see step by step, step by step, step by step, step by step, step by step, using the information given. First, we need to find the same as the user step by step, and see if we have to find out step by step, and see step by step, and see step by step, breaking it step by step, step by step, using the information given. First, we need to find the same way step by step, and find the problem step by step, and see if we can you need to find out how old step by step, and see if we can find the current age step by step, and see step by step, step by step,",False,True,captured
gsm8k_22,gsm8k,0.6B_gridB,4,stochastic,42,15.8588,146.27,61.62,256,16.14,539,121,136,0.2245,0.89,False," 

Let me think>
Okay, let's see. 

Let me think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see the number >
To determine the number >
Okay, let's think>
Okay, let's think>
Okay, let's see the number of DVDs sold > 
Okay, let's see solution > 

Okay, let's think>
Okay, let's think step-by-step-replace answer here put your answer here >
Okay, let's see the number of DVDs sold by the number >
To determine the total number of DVDs sold >
To determine the total number of DVDs sold > 

Okay, let's 22>
Okay, let's see the number >
To determine the total number of DVDs sold>

To determine the total number of DVDs sold > 

Okay, let's>
Okay, let's see below




Final Answer: <number>
Okay, let's see the number >
To determine the total number of DVDs sold > 

Let me think through the number >
Okay, let's think>
Okay, let's think step by step-by>
Okay, let's think step by step-by>
Okay, let's see the number",False,True,captured
gsm8k_32,gsm8k,0.6B_gridB,4,stochastic,42,14.7853,146.92,57.41,256,17.31,502,130,127,0.259,1.02,False," 

Okay, let's see.5>
Okay, let's calculate the number >
Okay, let's see, let's>

Okay, let's calculate the total hours per week >
Okay, let's see the answer here put your answer here put your answer here > 

Okay, let's see the answer here put your answer here > 

Okay, let's see the answer here >
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see below > 

Okay, let's 35>
Okay, let's see the answer here put your answer here > 

Final Answer: <

Okay, let's see.5>
Okay, let's 35 >
Okay, let's see the number >
Okay, let's see the answer here >
Okay, let's see below >.
Okay, let's see the answer here > 

Okay, let's see the number >
Okay, let's see the total hours per week >
Okay, let's see the number >
Okay, let's>
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see the number of the solution > 

",False,True,captured
gsm8k_34,gsm8k,0.6B_gridB,4,stochastic,42,15.0441,146.85,58.42,256,17.02,509,129,128,0.2534,1.01,False," 

Okay, let's see the number > 

Okay, let's think>
Okay, let's think>
Okay, let's see the number >
Okay, let's think>
Okay, let's try to answer >

Okay, let's see solution here >

Okay, let's see the number >
Okay, let's try to solve this is 26550>
Okay, let's try to find the number >
Okay, let's try to solve this is a number >
Okay, let's try to solve this is a math >
Okay, let's try to find the answer here >

Okay, let's see, let's

Let's number > 

Okay, let's see the number >
Okay, let's try to solve this is a number >

To solve this problem, we need to find out how many jewels does not yet determined by

Okay, let's see the number > 

Okay, let's answer >

To solve this is 2 less than 4650>

Okay, let's try to find the answer here >

To solve step-by-step-replace answer >
Okay, let's try to find the answer here >

To solve this is 465>
Okay, let's try to find the answer here >

Okay,",False,True,captured
gsm8k_35,gsm8k,0.6B_gridB,4,stochastic,42,16.806,146.24,65.33,256,15.23,569,113,143,0.1986,0.79,False," 

Okay, let's see.>

Okay, let's see, 5>
Okay, let's see below >
To determine the total points scored 6>
Okay, let's see the total points >
To determine the total points by the total points>
Okay, let's see the total points >
To determine the total points Mike plays ping pong for 4>
Okay, let's see the total points >
To determine the total points Mike scored 56>
Okay, let'score>
Okay, let's see the total points >
To determine the total number >
To determine the total number >
To determine the total number >
To determine the total number of the problem solution > 

Okay, let's see below > 

Let me think>
Okay, let's see the total points > 

To determine the total points Mike's>
Okay, let's see below >
To determine the total number >
To determine the total number >
To solve this step-by- 5
Okay, let's see the total points >
To determine the total number >
To solve this step by the total points > 

To determine the total number >
To solve this problem solution here put your answer here >
To determine the total number >
To solve this problem, let's solve the total points >",False,True,captured
gsm8k_44,gsm8k,0.6B_gridB,4,stochastic,42,16.1169,146.37,62.63,256,15.88,547,120,137,0.2194,0.88,False," 

Okay, let's see.>

Okay, let's think>
Okay, let's think>
Okay, let's see the number >
Okay, let's think>
Okay, let's see the steps >

Okay, let's think>
Okay, let's think>
Okay, let's see below

Let me think>
Okay, let's think>
Okay, let's see the number >
Okay, let's think>
Okay, let's see the number here >
Okay, let's see below >

Okay, let's see the number > 

To determine the answer here > 

Okay, let's profit > 

To determine the profit > 

Okay, let's think through the process here > 

Okay, let's think>
Okay, let's see below

Okay, let's think through the number > 

Okay, let's profit >

Okay, let's see below > 

Okay, let's profit is calculated value >
Okay, let's see below >
Okay, let's see the number >
Okay, let's see the answer here > 

To determine the total profit >
Okay, let's see the correct answer here >.
To determine the profit per candle.>

Okay, let's see the number >

Okay, let's see the number > 

Okay,",False,True,captured
gsm8k_48,gsm8k,0.6B_gridB,4,stochastic,42,14.9174,144.61,57.93,256,17.16,508,130,127,0.2559,1.02,False," What is the length of the wire in feet of each piece of each piece of each piece of each piece in feet of each piece of wire left overhang?

Wait, the question is the wire that each piece of wire in feet of each piece in feet of each piece?

Wait, the question seems to the wire in feet of each piece? (the question is not used wire that each piece?

Wait, the wire left over wire used wire used wire left over wire that piece of wire left over wire that piece of wire after the wire that piece of wire left over wire? (this wire in feet of each piece?

Wait, the question seems to the nearest inch of each piece of wire?

Wait, the question seems to the nearest inch of the wire not used wire used wire?

Wait, the wire left over wire?

Wait, the wire that was cut?

Wait, the question seems to the nearest inch of the wire not used?

Wait, the question seems to the nearest inch?

Wait, the wire left over?

Wait, the question seems to the nearest inch of each piece of wire?

Wait, the question? (the question is cut?

Wait, the question seems to the nearest tenth piece of wire in feet of each piece of wire in feet of each piece",False,True,captured
gsm8k_49,gsm8k,0.6B_gridB,4,stochastic,42,14.7174,143.95,57.15,256,17.39,500,132,125,0.264,1.06,False," 

Okay, let's see. Let's

Okay, let's think>
Okay, let's calculate the total number of units>
Okay, let's think>
Okay, let's calculate the total number of units>
Okay, let's think step-by>
Okay, let's calculate the total number of units>
Okay, let's see the number >
Okay, let's calculate step-by-step explanation > 

Okay, let's see the total number of unoccupied units.
Okay, let's see the number >
Okay, let's calculate step-by-step explanation here >
Okay, let's see the number >
Okay, let's see the total number of unoccupied units>
Okay, let's see the number >
Okay, let's see the total number of unoccupied_units>
Okay, let's see below

Let me think>
Okay, let's see the number > 

Okay, let's see the number of unoccupied units>
Okay, let's see below>
Okay, let's see below

Okay, let's> 

Okay, let's
Okay, let's see below

Okay, let's see the total number of unoccupied units > 

Okay, let's>
Okay, let's see the total number of unoccupied_units>
Okay, let's",False,True,captured
gsm8k_55,gsm8k,0.6B_gridB,4,stochastic,42,15.7114,148.69,61.03,256,16.29,533,122,134,0.2289,0.91,False," 

Okay, let's see.>

Okay, let's see, 14>
Okay, let's see the number >. 

Let me think>
Okay, let's see below >

To determine the number of bags Jean can be careful calculation here >
Okay, let's see the number > 

Okay, let's see the number > 

Let me think>
Okay, let's see the thought>
Okay, let's see the thought>
Okay, let's see, let's see the steps here > 

To determine the number of lollipops>
Okay, let's see the number > 

Okay, let's> 

Okay, let's see.>

Okay, let's see below >
Okay, let's see below >

Okay, let's> 

Okay, let's>
Okay, let's see the number > 
Okay, let's see the number of bags>
Okay, let's see below >
Okay, let's see below >
Okay, let's see the number of bags Jean has to be careful calculation here >.
Okay, let's see the number of bags>
Okay, let's see below >
Okay, let's>
Okay, let's see the number of bags Jean has to be a number > 

Okay, let's>

",False,True,captured
gsm8k_56,gsm8k,0.6B_gridB,4,stochastic,42,13.1584,145.06,51.03,256,19.46,445,145,112,0.3258,1.29,False," Also, what is the Also, what is the? (The problem asking price of the total cost of each time it is the total cost of the total cost for the total cost for the total cost of  total cost for 20. total cost for the 10 total cost for  total cost for 5th total cost for 3rd number of dollars he can he can go to the movies?

Wait, the total cost for 20th total cost for 10 total cost for 5 times he can go to the movies ticket and popcorn cost of the total cost for the total cost of the total cost for each time cost of the total cost for 10th total cost for 6th term for the total cost for 5. total cost for the 5th term for the total cost for 2nd of the total cost for 2nd of the total cost for the total cost of the total cost for  total cost for 20 total cost for 42nd of the total cost for  total cost for the total cost for 42 divided by  total cost for  total cost for 42 divided by 30 total cost for 10 total cost for 10 total cost for",False,True,captured
gsm8k_57,gsm8k,0.6B_gridB,4,stochastic,42,15.6284,145.02,60.72,256,16.38,531,124,133,0.2335,0.93,False," 

Okay, let's see.>

Okay, let's>

Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see below > 

Okay, let's think>
Okay, let's think step-by- 10>
Okay, let's think>
Okay, let's see below

Okay, let's see below > 

Okay, let's think step-by>
Okay, let's see below >

To determine the maximum number of boxes>

Okay, let's think>
Okay, let's see below >
Okay, let's see below >

Okay, let's answer here >

To determine the maximum number of boxes>

Okay, let's see below > 

To determine the maximum number of the number >
Okay, let's see below >
Okay, let's see below > 

Okay, let's number >

To determine the maximum number of the number >
Okay, let's see below >

To determine the maximum number of boxes>
Okay, let's see below >
Okay, let's see below

Let me solve this step by step, 2222>
Okay, let's think>
Okay, let's see below > 

Okay, let's number >

To determine the maximum",False,True,captured
gsm8k_59,gsm8k,0.6B_gridB,4,stochastic,42,15.7848,145.87,61.33,256,16.22,537,122,135,0.2272,0.9,False," 

To find the total number of raspberries>
To find the total number of the numbers >
To solve the problem step-by> 

Okay, let's see the number >
To find the total number >
To find the total number >
To solve this is 13838670> 

To find the total number >
To solve this is a number >
To solve this step-by- 19779700 + 67 + 67967797728767677>
To find the total number of the clusters and then the total number >
To solve this problem solution > 

Okay, let's> 

Okay, let's see.>

To find the total number of the clusters and then the total number of raspberries>
To solve the number > 

Okay, let's see below >
To find the total number >
To solve this problem solution > 

To find the total number of the total number >
To solve this problem, let's see the total number of raspberries>
To find the total number > 

To find the total number of the total number of the total number of raspberries>
To solve this problem, let's think>
To find the total number of the",False,True,captured
gsm8k_62,gsm8k,0.6B_gridB,4,stochastic,42,18.0724,146.31,70.3,256,14.17,616,101,155,0.164,0.65,False," 

Final Answer: < 

Let me

Final Answer>
Okay, let's see.>
Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let me think>
Okay, let's see the number >
To determine the value >
To determine the pension amount > 

Okay, let me think>
Okay, let me>
Okay, let's annual pension amount > 
Okay, let me to be 250.>

Okay, let's pension amount > 

To determine the number >
Okay, let'something>
Okay, let's>

Okay, let'something>
Okay, let's see below >
To determine the correct answer here >

Okay, let's 1000.>

Okay, let'salary>
Okay, let's








Final Answer>
Okay, let's

Final Answer: 25000>
Okay, let's pension amount > 

Okay, let's>

Okay, let's see solution >

Okay, let's see solution >

To determine Marcy's annual pension after working on the value >
Okay, let's see solution >.>

Okay, let's pension amount >
To determine Marcy's annual pension after 300>
",False,True,captured
gsm8k_66,gsm8k,0.6B_gridB,4,stochastic,42,14.2568,144.72,55.34,256,17.96,483,135,122,0.2795,1.11,False," 

Okay, let's see.>

Okay, let's see below >
Okay, let's think>
Okay, let's see the total number of people >
Okay, let's think>
Okay, let's see below >

To determine the total number of people>
Okay, let's think>
Okay, let's think>
Okay, let's see below >

Okay, let's see below > 

Okay, let's think>
Okay, let's see the total number of people is the number >
Okay, let's think step-by-20>
Okay, let's see below > 

Okay, let's 122220>
Okay, let's see the total number of people, let's solve this step by step >

To determine the total number of people>
Okay, let's see the total number of people > 

Okay, let's see the total number of people is the total number >
Okay, let's see below






To determine the total number of people>
Okay, let's see below > 

Okay, let's



To determine the total number of the total number >
Okay, let's see the total number of people > 

Okay, let's>
Okay, let's see the total",False,True,captured
