sample_id,ar_total_s,method_total_s,ttft_s,tpot_s,accepted_block_mean,output_tokens,prediction,reference,seed,regime,k
s000,0.8047964597816663,0.359347502090852,0.05105209604423176,0.002802685509514729,3.0,111,"Energy Markets update: officials announced a phased plan with measurable milestones, and near-term execution risks.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s001,0.37869572231048315,0.1775415294926472,0.0505104522808107,0.0029542110979496865,2.933333333333333,44,"token Trial update: officials reported a phased plan with measurable trade-offs, and near-term execution risks.","Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s002,0.5743223421215131,0.23953782120820608,0.049872193645496436,0.002789200405333965,3.0,69,"Sports Finals update: officials criticized a token plan token measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s003,0.7704360655139195,0.35215095414540903,0.050948133742839075,0.0027889150037274995,3.0277777777777777,109,"Education Reform update: token reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s004,0.4020592669924802,0.17063271427585353,0.04194547795723052,0.0026262701289514897,3.125,50,"Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s005,0.7070079627281058,0.31235247185338905,0.04752443012717196,0.0027876635971180747,3.0625,96,"Chip Manufacturing update: officials expanded a phased token measurable token trade-offs, and near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s006,0.8188115389443262,0.3791458264036518,0.05680655474084694,0.00339304496487163,2.6486486486486487,96,"Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution token","Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s007,0.6490873302614532,0.26190330467174555,0.0454474378775752,0.0029250792810023023,2.9615384615384617,75,"Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s008,0.28958447962686884,0.14330226727869189,0.05680291866570393,0.0032036795782588137,2.9,28,"City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s009,0.42926146296357065,0.20241149517511953,0.05588166621975777,0.0034076704408223667,2.7058823529411766,44,"Cybersecurity Incident token officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
