sample_id,source_text,reference_summary,difficulty,source_words,target_tokens
s000,"Article 0: Analysts covering energy markets announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.43. Source length is approximately 392 words.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.42644266970642336,392,111
s001,"Article 1: Analysts covering medical trial reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.54. Source length is approximately 253 words.","Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5387948838265226,253,44
s002,"Article 2: Analysts covering sports finals criticized a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.37. Source length is approximately 444 words.","Sports Finals update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.3727072707258039,444,69
s003,"Article 3: Analysts covering education reform reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.44. Source length is approximately 464 words.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.43668090976683677,464,109
s004,"Article 4: Analysts covering climate policy announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.19. Source length is approximately 325 words.","Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.19481391869620968,325,50
s005,"Article 5: Analysts covering chip manufacturing expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.37. Source length is approximately 283 words.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.36578206496517807,283,96
s006,"Article 6: Analysts covering supply chain confirmed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.81. Source length is approximately 371 words.","Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.8064066159257592,371,96
s007,"Article 7: Analysts covering space mission reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.44. Source length is approximately 205 words.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.4376410287060165,205,75
s008,"Article 8: Analysts covering city planning rejected a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.67. Source length is approximately 212 words.","City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.6655842883117474,212,28
s009,"Article 9: Analysts covering cybersecurity incident approved a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.73. Source length is approximately 286 words.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.7253613586530057,286,44
s010,"Article 10: Analysts covering energy markets criticized a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.76. Source length is approximately 125 words.","Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.7563804454119425,125,35
s011,"Article 11: Analysts covering medical trial rejected a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.58. Source length is approximately 187 words.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5785241689154542,187,85
s012,"Article 12: Analysts covering sports finals delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.25. Source length is approximately 486 words.","Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.253953560901911,486,70
s013,"Article 13: Analysts covering education reform reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.07. Source length is approximately 201 words.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.06559122266296363,201,95
s014,"Article 14: Analysts covering climate policy delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.67. Source length is approximately 231 words.","Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.6719762369225474,231,69
s015,"Article 15: Analysts covering chip manufacturing expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.70. Source length is approximately 330 words.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.6986647551903622,330,76
s016,"Article 16: Analysts covering supply chain delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.25. Source length is approximately 148 words.","Supply Chain update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.24767993661606075,148,112
s017,"Article 17: Analysts covering space mission reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.47. Source length is approximately 489 words.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.4687049350341189,489,43
