sample_id,task,draft,draft_config_label,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,0.6B,4,stochastic,999,11.6238,133.45,45.06,256,22.02,473,138,119,0.2918,1.16,False,"  (Assume that he didn't have to sell the house for the house for the house and sells the house and that he didn't have to pay any taxes or sells the house for the same amount of the house to sell the house to sell the house at sell the house for the same amount of money to sell the house for the house.  Assume that he didn't have to pay any other costs, and that he sells the house for  sell the house at sell the house, and he sell the house for the same amount of money to buy the house for the house and that he sells the house for the same amount of money to buy the house.)

Okay, let's see.  not sell the house for the same amount of money in any other costs for the house.)

Okay, let the house, and the house is selling the house for the house to sell the house for any other costs like the house at sell the house at sell the house for the house for the house, and the value of the house for the house and the value of the house.  and sells the house for  sell the house for this in any other costs.)
Okay, let'sell the house for the same amount of money and that he sells the house for  sell",False,True,captured
gsm8k_11,gsm8k,0.6B,0.6B,4,stochastic,999,12.6072,118.42,48.98,256,20.31,518,127,130,0.2452,0.98,False," 

Okay, let's see.>

To find the total cost, the total cost in the total cost of don'the total cost in numbers >

To calculate the total cost of the total cost in numbers >
To calculate the total cost of the total cost is the total cost in numbers only the total cost in numbers only the number >

To calculate the total cost of don'to>

To find the total cost by the total cost in the total cost in the total cost is the total cost.

Let me solve the total cost in the total cost is the total cost of the total cost in the box >
To calculate the total cost of the total cost is the total cost of the total cost is the total cost.

Let me calculate the total cost is the total cost is the total cost of the total cost is the total cost. 

Let me solve step by step >

To find the total cost by 30>
Okay, let's calculate the total cost in the box >

To calculate the total cost of the total cost is $521234762397439>
Okay, let's>
Okay, let's see the total cost in the box.

Okay, let's see the total cost in the box > 

Okay, let",False,True,captured
gsm8k_15,gsm8k,0.6B,0.6B,4,stochastic,999,10.8014,117.68,41.9,256,23.7,441,145,111,0.3288,1.31,False," Assume that the discount rate is  is  is 5% is  is 6% per month is 5% per month is 6% per year is 1 is 8% and the merchant is  is 6% per year is 5% per month is 0.05.

Wait, the question is missing in the market is  is 1 is 6% per year.

Wait, the merchant is willing to pay is 1 is 1 is 8% per month is 1 is 2 is 1 is 10. is 10. is 5% per year is 6% and the interest is 5% per month is 0. Assume that the discount rate is 1 is 10% is 10. is 5% per month is 1 is 10% is 6% per year. Assume that the discount rate is 8% per year. Assume that the discount rate is 10. is 5% per month is 5% and the market is 4%.
Wait, the merchant is using the present value is 10% per month is 0.05, r is 10% is",False,True,captured
gsm8k_21,gsm8k,0.6B,0.6B,4,stochastic,999,9.6,118.43,37.18,256,26.67,393,158,99,0.402,1.6,False," Let's solve this problem. 

First, we need to find the current age step by step, step by step, step by step, step by step, using the information given. First, we need to find the current age step by step. 

First, we need to find the current age of how old-style.

First, we need to find the current age of Raymond and think step by step, step by step, step by step, using the information given. First, we need to find out step by step, step by step, using the information given. First, we need to find the current age of Raymond and then step by step, step by step, using the information given. 

First, we need to find the current age of Raymond when Samantha is  step by step, and see step by step, step by step, using the information given. First, we need to find the current age step by step, step by step, using the information given. First, we need to find out step by step, and see if Samantha is 31 now. 

First, we need to find the current age of Raymond and Samantha is  step by step, breaking it step by step, and find the current age of Raymond and see step by",False,True,captured
gsm8k_22,gsm8k,0.6B,0.6B,4,stochastic,999,10.9402,118.35,42.44,256,23.4,449,144,113,0.3207,1.27,False," Let's solve this problem. 

Step 1: Determine the problem step by step. First, let's break it step by step. First, let's break it step by step. First, let's see if we think step by step. First, step by step. First, we need to calculate the first. 

Step 1: Determine the first. 

Step 1: Determine the first 3 customers bought by breaking it down step by step. First, we need to find the step by step. 

Step 1: Determine the first step by breaking it down step by step. First, let's find the first. 

First, let's see how many DVDs did he has  step by step. First, we have to find out how many DVDs sold by breaking it down step by step. First, we need to find the first step is a step by step. First, let's find out step by step. First, let's find out step by step. First, we need to find the first. 

First, let's calculate the total number of DVDs sold is step by step. First, we have a step by step. First, step by step. First, let's find the total number by breaking it down into steps",False,True,captured
gsm8k_32,gsm8k,0.6B,0.6B,4,stochastic,999,9.7211,118.24,37.66,256,26.33,399,157,100,0.3935,1.57,False," Let's solve this problem. 

First, we need to find out how many hours a day does step by step. 

First, we need to find the problem step by step:

First, we need to find the problem step by step. 

First, we need to find the total hours per step by first. We need to find out step by step:

First, we need to find the problem step by step. 

First, we need to find out step by step. First, we need to find the problem step by step.

First, we need to find the problem step by step.  step by step:

First, we need to find the problem step by step. 

First, we need to find out step by step. 

First, we need to find out step by step. 

First, we need to find the problem step by step. 

First, we need to be breaking it down step by step:

First, we need to find the problem step by step. 

First, we need to be breaking it into steps. 

First, we need to find the problem step by step by first. 

First, we need to find out how many hours a day does it's steps:

First, we need to find the problem step by",False,True,captured
gsm8k_34,gsm8k,0.6B,0.6B,4,stochastic,999,11.0878,118.35,43.02,256,23.09,456,142,114,0.3114,1.25,False," Let's solve this step by step.

Step 1: Find the problem together.

Step 1 by step.

Step 1: Find the problem together.

Okay, let's see. First, find the problem.

First, find step.

Step 1: Find the problem step.

Step 1: Find the problem.

Step 1: Find the problem.

First, find the problem step.

Step 1: Find the problem step by step.

First, we go step by step. 

Step 1: Find the problem step by step and step.

Okay, let's see step.

Step 1: Find the problem step by step and step.

Okay, let's solve this step.

First, we go step by step.

Okay, let's see step.

First, we need to find the problem step.

First, we need to find the problem step by step.

First, find out how?

Okay, let's see step.

First, we go step by step and step.

Step 1: Find out.

Step 1: Find the problem step by step.

Step 1: Find the problem step by step.

First, we go step by step. First, find out how?
Okay, let's see step.

Step 1:",False,True,captured
gsm8k_35,gsm8k,0.6B,0.6B,4,stochastic,999,9.7104,118.12,37.62,256,26.36,397,156,100,0.3929,1.56,False," Let's solve this problem.  step by breaking it down step by step. 

Okay, let's see. 

Okay, let's break it step by step. 

First, we need to find the same as a step by step. 

Okay, let's break it down step by step. 

First, we need to find the total points =  step by step.  step by step. 

First, we need to find the first. 

Okay, let's break it down step by step by step.  step by step.  First, we need to find the same as the first  step by breaking it down step by step.  step by step.  step by step. 

First, we need to find the total points = 40 minutes.  step by step.  First, we need to find the total points = 4 + step by step.  step by step.  step by step.  First, we need to find the total points = 4 + step by step.  First, we need to find the total points = step by step.  step by step.  step by step.  step by step.  step by step.  step by step.  step by step. 

",False,True,captured
gsm8k_44,gsm8k,0.6B,0.6B,4,stochastic,999,11.0794,118.55,42.98,256,23.11,453,143,114,0.3157,1.25,False,"  Also, he has a 1000. 10% of the total cost of $100. 10% discount of $100. 20% discount of $20% of the total profit margin of $100.0.20% tax rate of $200.20% tax rate on-handic cost of $200.  50. 10% discount of 20% of the total profit to pay-as many other cost of $200. 50% of $100.0.30% tax rate of 10% of the cost of $200.0.20% tax rate of 10% discount of 10% discount of 10% of $200. 30% tax rate on-handicapped $10% of the total cost of $100. 20% tax rate on-handicapped person who has a fixed cost of $20.30% tax rate of 10% of the total of 20% of the total profit as his monthly rent of $200. ",False,True,captured
gsm8k_48,gsm8k,0.6B,0.6B,4,stochastic,999,10.2936,118.57,39.9,256,24.87,422,151,106,0.3578,1.42,False," What is the total length of all the pieces?

Wait, the pieces? of all the pieces?

Wait, the question? of all the pieces?

Wait, the question is the pieces?

Wait, the question is asking for all of all the pieces? What is the total length of all the pieces?

Wait, the question is the wire used for all of all the pieces?

Okay, in feet of all the pieces combined?

Okay, let's length of all of all the pieces?

Wait, the question is asking for? of all the pieces combined of all the pieces?

Okay, let mea of all the pieces combined of all the pieces combined of all the pieces?

Wait, the question is asking for? of all the pieces combined?

Wait, the question is asking for? of all the pieces?

Wait, the question is the pieces?

Wait, the question seems to be a mistake in the question? of all the pieces put into which is  of all the pieces?

Answer: <number> of all the pieces?

Wait, the question is asking for? of all the pieces combined of all the pieces combined of all the pieces?

Wait, the question is asking for?

Wait, the question seems to be a typo? of all the pieces?

Wait,",False,True,captured
