sample_id,task,mode,draft,k,regime,target_device,draft_device,adaptive_k,profile,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,k_max,k_final,alpha,B_eff,stopped_eos,output_text,draft_elapsed_s,verify_elapsed_s
fast_en_001,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.3227,190.77,193.81,12,5.17,13,8,4,4,4,0.6154,2.0,False," Leaves are green because they contain chlorophyll, a pigment",1.424152,0.856443
fast_en_002,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,3.1188,236.81,262.0,12,3.85,18,8,5,4,4,0.4444,1.6,False, 1. Create a conducive study environment: It is important,1.948647,1.104687
fast_en_003,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,3.068,243.17,256.8,12,3.91,18,7,5,4,4,0.3889,1.4,False, Cloud computing is like renting a big library of books and movies,1.913559,1.090795
fast_en_004,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.9147,227.61,244.28,12,4.12,17,8,5,4,4,0.4706,1.6,False, Regular exercise offers numerous benefits to both physical and mental health.,1.784317,1.065396
fast_en_005,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.4838,232.2,204.69,12,4.83,15,9,4,4,4,0.6,2.25,False," An API, or Application Programming Interface, is a set of",1.580534,0.848972
fast_en_006,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.5031,229.04,206.73,12,4.79,15,9,4,4,4,0.6,2.25,False," Supervised learning uses labeled data to train models, while uns",1.590022,0.859243
fast_en_007,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.4884,230.62,205.26,12,4.82,15,9,4,4,4,0.6,2.25,False, Overfitting in machine learning is a situation where a model,1.576132,0.860205
fast_en_008,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,3.5429,222.83,301.83,12,3.39,21,7,6,4,4,0.3333,1.17,False, Reducing energy consumption at home can help save money and reduce,2.197749,1.268731
fast_en_009,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,2.4617,226.6,203.19,12,4.87,15,9,4,4,4,0.6,2.25,False, Version control is a system that allows multiple people to work on,1.560067,0.850128
fast_en_010,quick_en,speculative,0.5B_quick,4,deterministic,cuda:0,cuda:0,False,int8_target_int8_draft,3.6588,225.73,312.1,12,3.28,23,7,6,4,4,0.3043,1.17,False," Use the abbreviation ""TL;DR"" for ""Too Long",2.38039,1.217431
