sample_id,task,draft,draft_config_label,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B,0.6B,4,stochastic,123,13.1354,128.72,51.01,256,19.49,536,122,134,0.2276,0.91,False," 

Okay, let's see.>

Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see the value of the house by the value of the answer > 

Okay, let's think>
Okay, let's think through the steps here > 

Okay, let's think>
Okay, let's think>
Okay, let's try to find the value >

Okay, let's think through the answer >
Okay, let's think through the steps above the number > 

Okay, let's see the value >
Okay, let's try to find the answer > 

Okay, let's see the value of the house after checking the problem again, 2000>
Okay, let's try>
Okay, let's think through the process >

Okay, let's think through the process > 

Okay, let's profit > 

Let me think>
Okay, let's try>
Okay, let's try to calculate profit in dollars>
Okay, let's think through the process > 

Okay, let's see the thought process >
Okay, let's try to solve step-by-1500> 

Okay, let's",False,True,captured
gsm8k_11,gsm8k,0.6B,0.6B,4,stochastic,123,13.1688,119.55,51.17,256,19.44,538,122,135,0.2268,0.9,False," 

Let me calculate the total cost is the total cost of the total cost in the box >

To calculate the total cost step-by> 

Okay, let's see.>

To calculate the total cost of the total cost in numbers >

To find the total cost, let's calculate the total cost in the total cost in the box. 

Okay, let's calculate the total cost in the total cost in dollars>
Okay, let's calculate the total cost in numbers here put the final answer in numbers >

To find the total cost by the total cost in numbers >

To calculate the total cost of the total cost in dollars >
To calculate the total cost of the total cost in dollars >

To calculate the total cost of the total cost in dollars >

To find the total cost by the way to be sure to be sure. Let's break down here put your answer here >
To find the total cost by step-by-step calculation here >
To calculate the total cost of the total cost in dollars >

To calculate the total cost of don'the total cost in the box>
Okay, let's calculate the total cost step-by-step>
Okay, let's calculate the total cost of each

Let me calculate the total cost of each

Okay, let's calculate the total cost step-by-step",False,True,captured
gsm8k_15,gsm8k,0.6B,0.6B,4,stochastic,123,14.2688,118.01,55.49,256,17.94,583,109,147,0.187,0.74,False," Also, suppose that the market for the first plan is a merchant has a 2 options are a merchant is a merchant is a 2 purchase price of the merchant is able to invest in both market for the same purchase price of the merchant is looking to maximize profit at the merchant is able to sell price of the value of the jewelry market for the first plan, market for the electronic gadgets market will be a merchant had been 2.5% is a 2nd of the two items are two items are two options are two other option of the electronic gadgets market will be a 10.5% of the two options are two other options are 2nd of the month is a 5% tax rate is 3. merchant is able to choose of the value of the two items are 2% of the profit is a merchant decides to invest the merchant decides to invest the $80. Also, suppose that the merchant has an interest rate of increase in the second plan is to the merchant has a merchant is able to sell price is a merchant is looking to maximize profit at the end of the month is a merchant has a 20. merchant can be the merchant can choose to buy price of the jewelry market for the jewelry market goes down payment",False,True,captured
gsm8k_21,gsm8k,0.6B,0.6B,4,stochastic,123,10.1835,118.86,39.47,256,25.14,414,152,105,0.3671,1.45,False," Let's solve this problem step by step, step by step, and think step by step, step by step, step by step, and make sure to take it step by step, and make sure to be breaking it down step by step, step by step, and make sure to include the steps. 

First, we need to find out how old step by step, breaking it down step by step, step by step, using the information given the problem step by step, step by step, breaking it down step by step, and make sure to write down to find the current age of Raymond and see step by step, step by step, and see step by step, step by step, using the information step by step, step by step, using the information step by step, and then answer step by step, step by step, using the information step by step.

First, we need to find the problem step by step, step by step, using the information step by step, breaking it down step by step by step, step by step, step by step, using the information step by step.

First, we need to find the same as a step by step. 

First, we need to find out how old step by step, and find the same as",False,True,captured
gsm8k_22,gsm8k,0.6B,0.6B,4,stochastic,123,13.2477,118.16,51.49,256,19.32,544,120,136,0.2206,0.88,False," 

Let me think>
Okay, let's see.>

To determine the answer here put your answer here >
To determine the total number of DVDs sold DVDs sold DVDs sold DVDs sold > 
Okay, let's see solution > 

Okay, let's see solution >
Okay, let's see solution here put your answer here >.
Final Answer: <.
Let me think through the problem step by step-by-step reasoning steps >

Let me think through the problem step by step-by-step>
Okay, let's think>
Okay, let's think>
Okay, let's think>
Okay, let's see solution here >
To determine the total number of DVDs sold on Tuesday>
Okay, let's see the number >
To determine the total number of DVDs sold > 

Let me think through the problem step by step-by> 

Okay, let's think>
Okay, let's see the answer >
To determine how many DVDs did not sure, let's think step by step-by>

Let me think this is 1111>
Okay, let's see the number >
Okay, let's see the number >
To determine the total number of DVDs sold >
To determine the total number of DVDs sold on Tuesday.
Okay, let's see.>

To determine the total number of DVDs",False,True,captured
gsm8k_32,gsm8k,0.6B,0.6B,4,stochastic,123,9.4397,117.49,36.56,256,27.12,384,160,96,0.4167,1.67,False," 

First, determine the total hours per day *step by step-by-step, we need to find the first, we need to find out step by step, we need to find out step by step, we need to find out how many hours per day does it is to find the total hours per day, we need to find out step by step, we need to calculate the total hours per day, we need to calculate the total hours per day, we need to determine the number of dogs, we first, we need to calculate the total hours per day, we need to calculate the total hours per step by step, we need to calculate the total hours per day, we need to calculate the first, we need to calculate the first, we need to find the total hours per day, we need to find out step by step, we need to calculate the total hours per step by step, first, we need to find the total hours per day, we need to calculate the total hours per step:

First, determine how many hours per day does the first, we need to find the total hours per day, we need to calculate the total hours per day, we need to calculate the first, we need to calculate the total hours per step, we need to calculate the",False,True,captured
gsm8k_34,gsm8k,0.6B,0.6B,4,stochastic,123,12.2697,118.07,47.65,256,20.86,503,131,126,0.2604,1.04,False," 

Okay, let's see. So, step by step. First, I need to find the first. So, first. First, I think step by step. 

Okay, let me think step by step.

Okay, let me. First, I think step by step. 

Okay, let me step by step. 

Okay, let me. So, first. So, first. 

Okay, let me think step by step. 

First, I need to find how many jewels does this step by step. 

First, I think step by step. 

First, I need to find how many jewels does step by step. 

Okay, let me think step by step. 

First, I think step by step. 

Okay, let me think step by step. 

Okay, let me step by step.

Okay, let me step by step. 

First, I think I need to find out how many jewels does step by step. 

First, I think I think step by step. 

Okay, let's step by step. 

First, I think step by step. 

Okay, let's step by step. 

First, let me step by step. 

First, I need to find how many jewels problem step by step.",False,True,captured
gsm8k_35,gsm8k,0.6B,0.6B,4,stochastic,123,13.31,117.73,51.73,256,19.23,541,121,136,0.2237,0.89,False," 

Okay, let's see.>

To determine the total points Mike scored 14> 

Okay, let's see below >
To determine the total points scored by step >

To determine the total points scored 5>
Okay, let's see below >
To determine the total points scored by step-by>
Okay, let's see the total points >
To determine the total number >
To determine the total number >
To determine the total number of the total points > 

Okay, let's>
Okay, let's see the solution here >
To determine the total number >
To determine the total number >
To solve this is 4 + 4>
Okay, let's see the total points >
To determine the total number >
To determine the total number of the total points Mike's>
Okay, let's see below > 
Okay, let's see the total points > 
Okay, let's see below
Okay, let's see the total points >.
Okay, let's see below >

To determine the total points scored 56>
Okay, let's see the total points Mike plays ping pong points>
Okay, let's see below >
To determine the total number >
To determine the total number >
To solve this problem solution here put your answer here >
To determine the",False,True,captured
gsm8k_44,gsm8k,0.6B,0.6B,4,stochastic,123,11.2162,118.36,43.52,256,22.82,457,141,115,0.3085,1.23,False," 

Okay, let's see. So, first, I need to find the step by step. 

Okay, let's see if I can figure out the cost for each step by breaking it down step by step. 

First, let's see. So, first. 

Okay, let's see how much is step by step. 

Okay, let's see if I can figure out the problem step by step. 

First, I need to find the problem step by step. 

First, we need to find the net profit problem step by step. 

First, I need to find the total cost and make sure.  step by step. 

First, find the total cost first. 

Okay, let's see. So Charlie's step by step. 

First, I need to find the net profit problem step by step. 

First, I need to find out step by step. 

First, find the total cost first. 

Okay, let's see. So, first. First, I need to find the first. So first. So, he makes 20 candles. 

Okay, let's see. So, first. 

Okay, let's see. So, Charlie's step by step. 

Okay, let's see if",False,True,captured
gsm8k_48,gsm8k,0.6B,0.6B,4,stochastic,123,11.8024,117.88,45.82,256,21.69,483,136,121,0.2816,1.12,False," How many feet long was each piece?

Wait, the wire used for each piece of the wire? (the wire?

Wait, the second piece of wire left overhang?

Wait, the second piece?

Wait, the second piece of wire? (the wire left over?

Wait, the second piece?

Wait, the second part of the wire that was each piece?

Wait, the second piece?

Wait, the remaining wire left over?

To find the total wire used for each piece?

Wait, the remaining wire?

Wait, the second piece?

Wait, the piece of the remaining wire?

Let me check?

Wait, the question has each piece?

Wait, the second piece of the wire left over?

Step 1: Convert the wire that?

Wait, the second piece of wire that piece of the remaining wire?

Wait, the remaining wire?
Wait, the second piece?

Wait, the question is each piece? (the) each piece?

Wait, the second part of the wire that piece of the wire?

Wait, each piece? (the wire that piece of wire left over?

Wait, the second piece of the wire left over?

Wait, the question is each piece?

Okay, let me wire left over?

Wait, the second piece?

Wait, the",False,True,captured
